act_1867_title; Act of British North America in 1867; X;;;;;;;;;;;
act_1867_desc; He established the Dominion of Canada, consisting of four colonies of the British Empire: Ontario and Quebec - the former Province of Canada (or Associated Canada) - New Brunswick and Nova Scotia. This law, which includes 147 articles, entered into force the provisions of the constitution of modern Canada, and has since been corrected several times, today it is still in force.; X;;;;;;;;;;;
act_1871_title; Act of British North America in 1871; X;;;;;;;;;;;
EVTDESC95151; Battleship "Potemkin" - a silent film, directed by Sergei Eisenstein in 1925. The film tells the story of how one of the sailors of the Black Sea Fleet, which stands at the harbor of Odessa, rebelled because they were fed maggoty meat. The instigators of rebellion were sentenced to death, but during the execution of punishment other sailors throw him to the rescue. Officers of the ship thrown overboard, but the inspirer of the uprising Vakulenchuk sailor dies in combat. The city raised the revolt, but the ruthless government troops shot civilians on the famous Odessa steps. On the suppression of rebellion is directed Black Sea fleet, but the sailors refused to fire on the rebels, and the battleship "Potemkin" triumphantly passed through the terrible operation of ships. The film repeatedly in different years, recognized as the best or one of the best films of all time on the basis of polls of critics, filmmakers and the public.; X;;;;;;;;;;;
EVTOPTA95151; well; X;;;;;;;;;;;
EVTNAME95152; February Revolution; X;;;;;;;;;;;
EVTDESC95152; the February Revolution of 1917 began with a strike Putilov workers in Petrograd on 18 February. A few days later riots spread to the entire city. On the night of 26 to 27 February the workers joined the rebel soldiers, the morning of 27 was burned down and captured by the district court remand home, had been released from prison inmates, among whom were many members of the revolutionary parties, who were arrested in recent days. February 27 were captured by Arsenal and the Winter Palace. The same day, the Board has been formed Soviet of Workers 'and Soldiers' Deputies of Petrograd, and the members of the Progressive Bloc created the Interim Committee of the Duma, who has taken the initiative to "restore law and order».; X;;;;;;;;;;;
EVTOPTA95152; sign the abdication of the throne; X;;;;;;;;;;;
EVTOPTB95152; Point garrison in Petrograd, and put down a rebellion!; X;;;;;;;;;;;
EVTNAME95153; Oktyabrsky coup; X;;;;;;;;;;;
EVTDESC95153; «The policy of armed insurrection" was adopted by the Bolsheviks even at the VI Congress, in early August, but at that time been driven underground, the party could not even prepare for vosstaniyu.No soon the situation changed. On the night of 24th to October 25th bolshivikov forces, disarming the guards exposed the government, took control of the stations, power station, telephone exchange, telegraph, etc. And the October 26 armed workers, soldiers of the Petrograd garrison and Baltic Fleet sailors, headed by Vladimir Antonov-Ovseenko was taken as the Winter Palace and arrested the Provisional Government; X;;;;;;;;;;;
EVTOPTA95153; We must flee!; X;;;;;;;;;;;
EVTOPTB95153; Direct all efforts to suppress the uprising!; X;;;;;;;;;;;
SOV;USSR; X;;;;;;;;;;;
SOV_ADJ; Sovetsk.; X;;;;;;;;;;;
SOV_communist_2; VKP (b); X;;;;;;;;;;;
provisional_government; the Provisional Government; X;;;;;;;;;;;
provisional_government_desc; After the fall of the previous regime in our country was formed by the interim government.; X;;;;;;;;;;;
BLR; Belarus; X;;;;;;;;;;;
BLR_ADJ; Belarussian.; X;;;;;;;;;;;
create_ussr_title; Treaty on the Formation of the USSR; X;;;;;;;;;;;
create_ussr_desc; Treaty was adopted by 29 December 1922 at a conference of delegations from the four congresses of Soviets of the republics of the RSFSR, USSR, BSSR and ZSFSR. Approved December 30, 1922 at the First Congress of Soviets of the Union of Soviet Socialist Republics. The last date is the date of formation of the USSR. Approval of the contract legally formalized the creation of a new state in the union of four Soviet republics. Later the agreement was part of the first Soviet constitution.; X;;;;;;;;;;;
EVTNAME95154; fall of communism; X;;;;;;;;;;;
EVTDESC95154; ideas of Marxism-Leninism have failed in our country. Now the Soviet Union would be dissolved.; X;;;;;;;;;;;
EVTOPTA95154; Long live the new Russia!; X;;;;;;;;;;;
BLR_conservative; Christian-conservative party; X;;;;;;;;;;;
BLR_liberal; the Popular Front; X;;;;;;;;;;;
BLR_reactionary; right block; X;;;;;;;;;;;
BLR_anarcho_liberal; revolutionary action; X;;;;;;;;;;;
BLR_socialist; Hramada; X;;;;;;;;;;;
BLR_communist; Communist Party; X;;;;;;;;;;;
BLR_fascist; Fascist Party; X;;;;;;;;;;;
EVTNAME95102; Polish national - liberation movement; X;;;;;;;;;;;
EVTDESC95102; nineteenth century in the history of Poland was filled with dramatic events of the struggle of the Polish people for independence. The Polish national liberation movement was directed against the decision of the Congress of Vienna and the Holy Alliance. Fragmentation of the state by foreign powers shaken progressive people of Poland as a result of dissatisfaction with what was expressed in the form of armed struggle for independence.; X;;;;;;;;;;;
EVTOPTA95102; Just let them try!; X;;;;;;;;;;;
EVTNAME95155; Monument seven generals; X;;;;;;;;;;;
EVTDESC95155; seven generals Monument - monument erected in Warsaw on the orders of Nicholas I, in honor of the Polish military leaders (six generals and colonel) killed by rebels during the November Uprising, the evening of 17 (29) in November 1830 for refusing to violate the oath of office, this Polish king and emperor All-Russian Nicholas I. The monument was extremely unpopular among the citizens, who believed the rebels in 1830, the heroes and victims of their generals' hands - national traitors.; X;;;;;;;;;;;
EVTOPTA95155; Glory to Heroes!; X;;;;;;;;;;;
separatist; separatist sentiment; X;;;;;;;;;;;
EVTNAME95156; Pratulinskie martyrs; X;;;;;;;;;;;
EVTDESC95156; To reduce the influence of the Catholic Church on public life in Poland after the uprising, the tsarist government decided to transfer to the Orthodox Church belonging to the Ukrainian Greek Catholic Church Ukrainian province Chelm. In January 1874 the village was sent Pratulin converted to the Orthodox priest, but the congregation refused to give him the keys of the church. The abbot sent a complaint of police officer tried to persuade the peasants to obey. January 24 in the village was sent a company of soldiers who opened fire on a crowd at the church of the peasants. 13 people were killed and 200 wounded. Many have been flogged.; X;;;;;;;;;;;
EVTOPTA95156; rebels got what they deserved; X;;;;;;;;;;;
EVTNAME95157; Narodnaya Volya; X;;;;;;;;;;;
EVTDESC95157; «Narodnaya Volya" - a revolutionary populist organization that emerged in 1879 and put the main purpose of forcing the government to democratic reform, after which it was possible to carry out the struggle for social transformation of society. One of the main methods of political struggle "Narodnaya Volya" was terror. In particular, members of the terrorist faction of the People's Will was calculated to push the political changes the execution of Emperor Alexander II. The name of the organization formed the name of its members - the People.; X;;;;;;;;;;;
EVTOPTA95157; rebels got what they deserved; X;;;;;;;;;;;
EVTNAME95158; War and Peace; X;;;;;;;;;;;
EVTDESC95158; 1867. LM Tolstoy finished work on the landmark novel of his work "War and Peace." The author noted that in "War and Peace", he "loved the idea of ??the popular" poeticizing simplicity, goodness and morality of the Russian people. This "people's thoughts," reveals Tolstoy, depicting the events of 1812. It is no accident Tolstoy describes the war in 1812 only on the territory of Russia. The historian and realist Tolstoy showed that World War II in 1812 was a just war. Defending the Russians raised the "people's war club, which punished the French for the time until the invasion would not be stopped." The war radically changed the lives of the entire Russian people.; X;;;;;;;;;;;
EVTOPTA95158; greatest work!; X;;;;;;;;;;;
EVTNAME95181; Balkan question; X;;;;;;;;;;;
EVTDESC95181; Even during the Great Migration in the Balkans began to appear the people who have not lived there. By the time of partition of the Roman Empire the region was part of the Eastern Roman Empire, and new people were a constant struggle with the emperors of Constantinople. The situation changed at the beginning of the XV century, when the Turks from Asia Minor began to penetrate the Balkans. The elimination of the Byzantine Empire and the fall of Constantinople by the Ottoman Empire enabled, the power is constantly growing, fully occupy the Balkan Peninsula. The peoples who lived there, and became a part of the empire. The situation was aggravated by the fact that they all differ in origin, religion or national origin. In the Balkans there were often anti-Turkish uprising, most of which ended with the defeat of the rebels.; X;;;;;;;;;;;
EVTOPTA95181; Do not worry; X;;;;;;;;;;;
EVTNAME95182; April uprising; X;;;;;;;;;;;
EVTDESC95182; April Uprising - the national liberation uprising in Bulgaria. Was prepared by the Bulgarian Revolutionary Central Committee, was in Giurgiu, and the revolutionary committees in Bulgaria. The biggest swing was in southern Bulgaria, where the main centers of rebellion, which stood at the head of T. Kableshkov, G. Benkovski and others, were the cities of Panagyurishte, Koprivshtitsa, Batak village, Perushtitsa. However, the poorly armed rebel forces were crushed by Turkish troops. April Uprising was the largest presentation of the Bulgarian people against the Turkish yoke.; X;;;;;;;;;;;
EVTOPTA95182; To destroy the separatists; X;;;;;;;;;;;
EVTOPTB95182; begin negotiations with the rebels; X;;;;;;;;;;;
create_rom_title; small association; X;;;;;;;;;;;
create_rom_desc; Association of Danubian principalities - the process of creating a state in Romania, is to bring together the Danubian Principalities (Wallachia and Moldavia, without Bessarabia) in a single state. Completed the emergence of the United Principality of Wallachia and Moldavia - the first Romanian public education.; X;;;;;;;;;;;
EVTNAME95190; talks to merge; X;;;;;;;;;;;
EVTDESC95190; the United Provinces of Wallachia and Moldavia - a project of the state union of Moldavia and Wallachia, developed after the Crimean War, France and Great Britain. The project envisaged a partial unification of the Danubian principalities and the creation of a union in the Ottoman Empire.; X;;;;;;;;;;;
EVTOPTA95190; Yes, the Romanian people live!; X;;;;;;;;;;;
EVTOPTB95190; I think our people are not ready to join; X;;;;;;;;;;;
EVTNAME95159; Lenin's death; X;;;;;;;;;;;
EVTDESC95159; January 21, 1924 after a long illness he died, "the leader of world proletariat", a revolutionary, the founder of the Russian Social Democratic Labour Party (Bolsheviks), one of the organizers and leaders of the 1917 October Revolution in Russia, the creator of the first in the history of the world socialist state, Vladimir Ulyanov (Lenin). January 23 Lenin's coffin was taken to Moscow and installed in the Hall of Columns. The official farewell was held for five days and nights. January 27 coffin with Lenin's embalmed body was placed in a specially built mausoleum in Red Square.; X;;;;;;;;;;;
EVTOPTA95159; eternal memory; X;;;;;;;;;;;
mavzoley; Mausoleum; X;;;;;;;;;;;
bulgar_cherch_title; Bulgarian Exarchate; X;;;;;;;;;;;
bulgar_cherch_desc; unilateral declaration of autocephaly of the hierarchs of the Constantinople Patriarchate of Bulgarian origin, and the creation of the Bulgarian Exarchate, independent of the patriarch Konstanstinopolskogo.; X;;;;;;;;;;;
ERM; Eastern Rumelia; X;;;;;;;;;;;
ERM_ADJ; Vostochnorumelsk.; X;;;;;;;;;;;
ERM_liberal; Liberal Party; X;;;;;;;;;;;
ERM_conservative; Conservative Party; X;;;;;;;;;;;
ERM_socialist; Socialist Party; X;;;;;;;;;;;
ERM_communist; Communist Party; X;;;;;;;;;;;
ERM_reactionary; reactionary party; X;;;;;;;;;;;
ERM_fascist; Fascist Party; X;;;;;;;;;;;
ERM_anarcho_liberal; Radical Party; X;;;;;;;;;;;
EVTNAME95191; Congress in Alba-Iulia; X;;;;;;;;;;;
EVTDESC95191; In 1918, after the defeat of Austria-Hungary in World War I in the city of Alba Iulia a congress of the Transylvanian Romanians, who took the decision to unite Transylvania with Romania.; X;;;;;;;;;;;
EVTOPTA95191; Thank Romania!; X;;;;;;;;;;;
EVTOPTB95191; Transylvania should be independent; X;;;;;;;;;;;
EVTNAME95192; Omladina; X;;;;;;;;;;;
EVTDESC95192; "Omladina - Serbian secret society with a view to unification and independence of all parts of the Serbian people. Originally it was a literary club, founded in 1848 by Serbian students in the city of Pressburg, that his poems were printed special collections under the general heading Omladina. Shortly after its founding, the society Omladina becomes available for the entire Serbian students in general. in 1870 is beginning to emerge, at the expense Omladiny "P?echnik politic", before that was based political journal "Mlada Srbad?a" (Young Serbia). Not being able to speak openly, Omladiny figures merge with the national opposition. "; X;;;;;;;;;;;
EVTOPTA95192; well; X;;;;;;;;;;;
annex_sie_title; Grand Unification; X;;;;;;;;;;;
annex_sie_desc; Accession of Transylvania to Romania (in Romanian is called the Grand Unification) - a political event, which began December 1, 1918 during the collapse of the Austro-Hungarian Empire, when the Congress of Romanians in the city of Alba Iulia delegates decided to join before the Hungarian part of Transylvania Kingdom of Romania.; X;;;;;;;;;;;
namest_ustav_title; vicegeral statutes; X;;;;;;;;;;;
namest_ustav_desc; vicegeral charter in 1869 expanded the democratic freedoms and prerogatives of the periodic assemblies convened without the consent of which the prince could not make laws.; X;;;;;;;;;;;
chernogor_zakonnik_title; Property lawyer; X;;;;;;;;;;;
chernogor_zakonnik_desc; lawyer Property Montenegro - the universal property code of laws. He is considered a masterpiece Valtazara Bogizhika, one of the most prominent lawyers in Europe end of the XIX century. This law has resulted in a system of ordinary legal rules, based on European civil law. Also there came the principles developed by Bogizhikom and some old laws of Montenegro.; X;;;;;;;;;;;
EVTNAME95193; Battle Grahovo; X;;;;;;;;;;;
EVTDESC95193; Mirko Petrovich Njegos, the elder brother of Prince Danilo, head of the army in 7500 and won an important battle against the Turks, whose army according to various estimates ranged from 7,000 to 13,000 people. The battle took place May 1, 1858 in the village of Grahovo. The victory at Grahovachem forced the Great Powers formally divide the border between Montenegro (de facto independent for years) and the Ottoman Empire. Montenegro was able to significantly expand its territory.; X;;;;;;;;;;;
EVTOPTA95193; great victory!; X;;;;;;;;;;;
EVTNAME95140; International Commission of Montenegro; X;;;;;;;;;;;
EVTDESC95140; After the battle of Grahovachem very badly was the issue of the official division of the border between Montenegro and the Ottoman Empire. We, as a Great Power must resolve the issue of demarcation of the boundaries of these states.; X;;;;;;;;;;;
EVTOPTA95140; approve the demarcation of the border; X;;;;;;;;;;;
EVTOPTB95140; reject the declaration; X;;;;;;;;;;;
EVTNAME95183; Conference in Istanbul; X;;;;;;;;;;;
EVTDESC95183; were finally settled the border of Montenegro. International Commission approved the location of the demarcation of Montenegro and it fixed the borders. Thus, Montenegro was able to significantly expand its territory.; X;;;;;;;;;;;
EVTOPTA95183; damned rebels!; X;;;;;;;;;;;
EVTNAME95160; Millennium of Russia; X;;;;;;;;;;;
EVTDESC95160; monument "Millennium of Russia" - a monument, erected in Novgorod in 1862 in honor of the millennial anniversary of the legendary Vikings calling on Russia. The authors of the project of the monument are sculptor Michael Mikeshin, John Schroeder and architect Viktor Hartmann.; X;;;;;;;;;;;
EVTOPTA95160; Glory to Russia!; X;;;;;;;;;;;
EVTNAME95200; Reform banquets; X;;;;;;;;;;;
EVTDESC95200; To promote reform, and thus circumvent the strict prohibitions of association and assembly, first in Paris and later in major provincial cities of the rich members of the Reform movement organized public banquets. In the speeches uttered talking loudly about the projects of reform, and sometimes sharply criticized the government. The main goal of the movement has been the liberalization of election laws.; X;;;;;;;;;;;
EVTOPTA95200; What they imagined that about yourself!; X;;;;;;;;;;;
EVTOPTB95200; I should listen to them; X;;;;;;;;;;;
EVTNAME95201; Revolution!; X;;;;;;;;;;;
EVTDESC95201; "February 21, 1848 after the ban the next", "reform-banquet", "scheduled in Paris, the capital of the unrest started, by the evening adopted the scale of the revolution. Alarmed by the Prime Minister Guizot tried to disperse the rebels with the help of National Guard troops. However, flatly Guard refused to shoot at people, and some of them even went over to the rebels. Contrary to expectations, the excitement only intensified. Louis-Philippe is February 23 accepted the resignation of the government of Guizot, and announced his decision to form a new Cabinet of Ministers of the supporters of reform. But after the execution of the rebels in front of hotel Ministry of Foreign Affairs of the revolution could not be stopped. "; X;;;;;;;;;;;
EVTOPTA95201; All is lost!; X;;;;;;;;;;;
EVTNAME95220; rapprochement with Germany; X;;;;;;;;;;;
EVTDESC95220; From the time of formation Sverogermanskogo Union began the rapprochement of Bavaria and Prussia, which resulted in part of Bavaria in the Franco-Prussian War on the side of the latter. The overall rise of national consciousness at the time was so strong that the population of Bavaria, in numerous addresses, addressed to the government petitioned to join the North German Confederation.; X;;;;;;;;;;;
EVTOPTA95220; Excellent!; X;;;;;;;;;;;
EVTOPTB95220; most important thing for us - it's independence; X;;;;;;;;;;;
GER_socialist_4; General German Workers' Union; X;;;;;;;;;;;
NGF_socialist_4; General German Workers' Union; X;;;;;;;;;;;
PRU_socialist_4; General German Workers' Union; X;;;;;;;;;;;
GER_socialist_4; Social Democratic Party of Germany; X;;;;;;;;;;;
EVTNAME95221; Socialist Union; X;;;;;;;;;;;
EVTDESC95221; After the unification of Germany much of the disagreement between socialists (and Eisenachers Lassalleans) disappeared, which was a prerequisite for their association. As a result, in 1875 at a congress in Gotha General German Workers 'Union merged with the Social Democratic Workers' Party of Germany. There was a unified Socialist Workers Party; X;;;;;;;;;;;
EVTOPTA95221; We do not care; X;;;;;;;;;;;
EVTNAME95222; Exceptional Law Against the Socialists; X;;;;;;;;;;;
EVTDESC95222; Act against the harmful and dangerous aspirations of social democracy - law enacted October 19, 1878 a majority of deputies of the Reichstag. Anti-Socialist Law forbade the socialist and social democratic organizations and their activities in the German Empire out of the Reichstag and Landtags.; X;;;;;;;;;;;
EVTOPTA95222; Excellent!; X;;;;;;;;;;;
EVTNAME95223; November Revolution; X;;;;;;;;;;;
EVTDESC95223; Revolution began with the sailors' revolt at Wilhelmshaven and Kiel, and in a few days, covered the whole of Germany. November 9, 1918 Kaiser Wilhelm II, under pressure from the Chief of Staff Grenera, who considered the continuation of hostilities meaningless, was forced to abdicate and flee the country. The government stood by representatives of the Social Democratic Party (SPD).; X;;;;;;;;;;;
EVTOPTA95223; abdicate; X;;;;;;;;;;;
EVTOPTB95223; suppress the rebellion; X;;;;;;;;;;;
EVTNAME95224; Spartacist revolt; X;;;;;;;;;;;
EVTDESC95224; "Communist", "Union cpartakistov" "under the leadership of Karl Liebknecht and Rosa Luxemburg, who demanded the further development of the revolution and the proclamation of the Soviet regime in Germany, raised a rebellion in January 1919 the Social Democrats. There is a real danger of civil war. Freikorps troops crushed the rebellion under the direction of Noske, Liebknecht and Luxemburg were murdered without trial. "; X;;;;;;;;;;;
EVTOPTA95224; brutally put down a revolt and kill the ringleaders!; X;;;;;;;;;;;
EVTOPTB95224; nothing we can do; X;;;;;;;;;;;
EVTNAME95225; Weimar Constitution; X;;;;;;;;;;;
EVTDESC95225; Weimar constitution or the constitution of the Weimar Imperial - the first was in effect in Germany, a democratic constitution. Was adopted August 11, 1919 in Weimar. The Weimar Constitution established a republic in Germany, acting on the principles of parliamentary democracy and federalism. Many of the Weimar Constitution were borrowed from the Constitution Paulskirche 1848. In place of a constitution the German Empire in its democratic period from 1919 to 1933 became known as the Weimar Republic.; X;;;;;;;;;;;
EVTOPTA95225; Yes, live the republic!; X;;;;;;;;;;;
EVTNAME95226; The "25-point»; X;;;;;;;;;;;
EVTDESC95226; As articulated by Adolf Hitler, Gottfried Feder and Anton Drexler (with the assistance of Hermann Esser), they first announced on February 24, 1920 directly to Adolf Hitler in the Munich beer "Hofbräuhaus". As he later wrote in his famous work «Mein Kampf»: «under the cheers of nearly two thousand people and every single item was approved by the general jubilation»; X;;;;;;;;;;;
EVTOPTA95226; anyway; X;;;;;;;;;;;
EVTNAME95227; Beer Hall Putsch; X;;;;;;;;;;;
EVTDESC95227; "November 8, 1923 around 9:00 pm Hitler and Erich Ludendorff at the head of the armed storm troopers came to the Munich beer hall" Bürgerbräukeller ", where he was meeting with Kara, and Lossova Seysera. Once inside, Hitler announced that" the overthrow of the government of traitors in Berlin . "However, soon the Bavarian leaders managed to leave the pub, followed by Carr issued a proclamation dissolving the Nazi Party and the storm troopers. its part, the storm troopers under the command of Rem occupied the headquarters of the Army in the War Department, where they, in turn, were surrounded by soldiers of the Reichswehr. morning of November 9 Hitler and Ludendorff at the head of the 3000th column storm troopers marched to the Ministry of Defence, however, on the street the way they blocked Residenzstrasse squad of police who opened fire. carrying dead and wounded, the Nazis and their supporters left the street. Later, it was signed a decree banning the Nazi Party "; X;;;;;;;;;;;
EVTOPTA95227; Open fire on the rebels!; X;;;;;;;;;;;
EVTOPTB95227; We need to retreat; X;;;;;;;;;;;
EVTNAME95228; My Struggle; X;;;;;;;;;;;
EVTDESC95228; book Adolf Hitler, combining elements of autobiography, outlining the ideas of National Socialism. The book reflects the ideas, the realization of which was World War II. Pronounced anti-Semitism of the author. [Citation needed 212 days] Hitler used the main theses were popular at the time of the ideology of the "Jewish threat" speaking exclusive of the capture of world authority by Jews. Hitler dictated the text of the book Emil Maurice during his detention in prison in Landsberg, and, later, in July 1924, Rudolf Hess.; X;;;;;;;;;;;
EVTOPTA95228; who are interested in writings of this scoundrel?; X;;;;;;;;;;;
EVTNAME95229; Legalization NSDAP; X;;;;;;;;;;;
EVTDESC95229; In February 1925 the activities of the Nazi Party was re-legalized, but the party leadership was split on tactics - the degree of nationalism and socialism in the Nazi movement. At the conference, the leaders of Nazi organizations in Germany, held in Bamberg, February 14, 1926 (Bamberg Party Conference) broke a bitter struggle between left and right wing of the NSDAP. Although intra-party conflicts have not been eliminated, but a general meeting of the Munich NSDAP district May 22, 1926 unanimously elected Hitler as its leader.; X;;;;;;;;;;;
EVTOPTA95229; Poor; X;;;;;;;;;;;
EVTNAME95230; My Struggle; X;;;;;;;;;;;
EVTDESC95230; book Adolf Hitler, combining elements of autobiography, outlining the ideas of National Socialism. The book reflects the ideas, the realization of which was World War II. Pronounced anti-Semitism of the author. [Citation needed 212 days] Hitler used the main theses were popular at the time of the ideology of the "Jewish threat" speaking exclusive of the capture of world authority by Jews. Hitler dictated the text of the book Emil Maurice during his detention in prison in Landsberg, and, later, in July 1924, Rudolf Hess.; X;;;;;;;;;;;
EVTOPTA95230; who are interested in writings of this scoundrel?; X;;;;;;;;;;;
EVTNAME95240; Red biennium; X;;;;;;;;;;;
EVTDESC95240; Red biennium - during the rise of the labor movement in Italy, accompanied by a massive seizure of factories by workers and the creation of workers' councils. The reasons for the sharp rise of strikes were the worsening economic situation in the First World War, and the impact of the revolution took place in Russia.; X;;;;;;;;;;;
EVTOPTA95240; Something must be done!; X;;;;;;;;;;;
EVTNAME95241; Italian Union Against; X;;;;;;;;;;;
