RUS_1029;Удмуртия;X
RUS_1042;Башкирия;X
RUS_1078;Бурятия;X
RUS_1062;Ханты-Манси;X
LAP;Ла-Плата;X
LAP_ADJ;Ла-Платск.;X
LAP_conservative;Консервативная партия;X
LAP_liberal;Демократический альянс;X
LAP_reactionary;Союз офицеров;X
LAP_anarcho_liberal;Партия свободы;X
LAP_socialist;Хустисиалистская партия;X
LAP_communist;Федерация независимых профсоюзов;X
LAP_fascist;Интегралистская партия;X
RGS;Риу-Гранди-ду-Сул;X
RGS_ADJ;Риуграндинск.;X
RGS_conservative_2;Паулистская партия;X
RGS_liberal_2;Партия Порту-Алегри;X
RGS_conservative;Республиканская партия;X
RGS_liberal;Федералистская партия;X
RGS_socialist;Колорадос;X
RGS_communist;Народная партия;X
RGS_reactionary;Партия гаучо;X
RGS_anarcho_liberal;Либертадор;X
RGS_fascist;Дос Пампас;X
form_la_plata_title;Восстановить государство Ла-Плата;X
form_la_plata_desc;Освободившись от колониального угнетения, аргентинцы оказались разделены границами нескольких государств из-за властолюбия власть имущих, но сегодня им суждено вновь стать единым народом, благодаря которому Ла-Плата займёт достойное место в мире.;X
form_turkestan_title;Основать единый Туркестан;X
form_turkestan_desc;Тюркские народы средней Азии долгое время были разобщены, являя собой лакомый кусок для таких сверхгигантов, как Российская Империя и Китай, но теперь у нас появилась надежда на независимость и процветание - единое Туркестанское государство.;X
form_babylonia_title;Основать Вавилонскую Империю;X
form_babylonia_desc;Между Тигром и Евфратом расположилось наше вновь ставшее независимым государством, и мудрецы говорят: это знак свыше. Мы должны сделать Багдад жемчужиной новой Вавилонской Империи, воздвигнув башню выше прежней и объединив народы древнего царства.;X
ANG;Ангола;X
ANG_ADJ;Ангольск.;X
BOE;Бурская Федерация;X
BOE_ADJ;Бурск.;X
ETS;Восточный Тимор;X
ETS_ADJ;Тиморск.;X
AKH;Поволжье;X
AKH_ADJ;Поволжск.;X
KWT;Кувейт;X
KWT_ADJ;Кувейтск.;X
ASR;Асир;X
ASR_ADJ;Асирск.;X
IBE;Иберия;X
IBE_ADJ;Иберийск.;X
ULA;Латиноамериканский Союз;X
ULA_ADJ;Латиноамериканск.;X
SEP;Сипаи;X
SEP_ADJ;Сипайск.;X
KLM;Калмыкия;X
KLM_ADJ;Калмыкск.;X
KMI;Коми;X
KLM_ADJ;Коми-зырянск.;X
TAT;Татария;X
TAT_ADJ;Татарск.;X
BSK;Башкирия;X
BSK_ADJ;Башкирск.;X
CHV;Чувашия;X
CHV_ADJ;Чувашск.;X
UDM;Удмуртия;X
UDM_ADJ;Удмуртск.;X
YGR;Югра;X
YGR_ADJ;Ханты-мансийск.;X
ORN;Оренбуржье;X
ORN_ADJ;Оренбуржск.;X
ALT;Алтай;X
ALT_ADJ;Алтайск.;X
BRY;Бурятия;X
BRY_ADJ;Бурятск.;X
UGH;Уйгурстан;X
UGH_ADJ;Уйгурск.;X
ANG_conservative;Национальный союз;X
ANG_liberal;Новая демократия;X
ANG_reactionary;Национальный фронт;X
ANG_anarcho_liberal;Партия свободы;X
ANG_socialist;Партия социального обновления;X
ANG_communist;Партия труда;X
ANG_fascist;Союз народов Анголы;X
BOE_conservative;Партия воортреккеров;X
BOE_conservative_2;Партия юнионистов;X
BOE_liberal;Демократическая партия;X
BOE_reactionary;Партия африканеров;X
BOE_anarcho_liberal;Конфедеративная партия;X
BOE_socialist;Партия гёзов;X
BOE_communist;Коммунистическая партия;X
BOE_fascist;Альянс за новое государство;X
ETS_conservative;Партия кабралистов;X
ETS_liberal;Демократическая партия;X
ETS_reactionary;Христианская национальная партия;X
ETS_anarcho_liberal;Радикально-демократическая партия;X
ETS_socialist;Социал-демократическая партия;X
ETS_communist;Революционный фронт;X
ETS_fascist;Интегралистская партия;X
AKH_conservative;Партия джадидистов;X
AKH_liberal;Национал-демократическая партия;X
AKH_reactionary;Партия кадимистов;X
AKH_anarcho_liberal;Партия свободы;X
AKH_socialist;Социалистический комитет;X
AKH_communist;Партия социалистов-революционеров;X
AKH_fascist;Поволжский легион;X
KWT_conservative;Фракция эмира;X
KWT_liberal;Фракция меджлиса;X
KWT_reactionary;Фракция имама;X
KWT_anarcho_liberal;Республиканская партия;X
KWT_socialist;БААС;X
KWT_communist;Коммунистическая партия;X
KWT_fascist;Братья-мусульмане;X
ASR_conservative;Фракция эмира;X
ASR_liberal;Фракция шуры;X
ASR_reactionary;Фракция имама;X
ASR_anarcho_liberal;Республиканская партия;X
ASR_socialist;БААС;X
ASR_communist;Коммунистическая партия;X
ASR_fascist;Братья-мусульмане;X
BSK_conservative;Партия джадидистов;X
BSK_liberal;Иттифак аль-Муслимин;X
BSK_reactionary;Партия кадимистов;X
BSK_anarcho_liberal;Курултай;X
BSK_socialist;Мусульманский социалистический комитет;X
BSK_communist;Революционная коммунистическая партия;X
BSK_fascist;Поволжский легион;X
KLM_conservative;Конституционно-демократическая партия;X
KLM_liberal;Национал-либеральная партия;X
KLM_reactionary;Орден алого лотоса;X
KLM_anarcho_liberal;Партия свободы;X
KLM_socialist;Партия социалистов-революционеров;X
KLM_communist;РСДРП(б);X
KLM_fascist;Альянс за Новое Государство;X
KMI_conservative;Партия национального возрождения;X
KMI_liberal;Прогрессивная партия;X
KMI_reactionary;Традиционалистская партия;X
KMI_anarcho_liberal;Радикально-демократическая партия;X
KMI_socialist;Народно-социалистическая партия;X
KMI_communist;РСДРП(б);X
KMI_fascist;Партия национального единства;X
TAT_conservative;Партия джадидистов;X
TAT_liberal;Иттифак аль-Муслимин;X
TAT_reactionary;Партия кадимистов;X
TAT_anarcho_liberal;Татарский общественный центр;X
TAT_socialist;Мусульманский социалистический комитет;X
TAT_communist;Революционная коммунистическая партия;X
TAT_fascist;Поволжский легион;X
CHV_conservative;Конституционно-демократическая партия;X
CHV_liberal;Прогрессивная партия;X
CHV_reactionary;Фракция Каппеля;X
CHV_anarcho_liberal;Национал-радикальная партия;X
CHV_socialist;Партия социалистов-революционеров;X
CHV_communist;Революционная коммунистическая партия;X
CHV_fascist;Поволжский легион;X
UDM_conservative;Конституционно-демократическая партия;X
UDM_liberal;Прогрессивная партия;X
UDM_reactionary;Фракция Каппеля;X
UDM_anarcho_liberal;Национал-радикальная партия;X
UDM_socialist;Партия социалистов-революционеров;X
UDM_communist;Революционная коммунистическая партия;X
UDM_fascist;Национал-социалистическая партия;X
YGR_conservative;Юнионистская партия;X
YGR_liberal;Прогрессивная партия;X
YGR_reactionary;Традиционалистская партия;X
YGR_anarcho_liberal;Национал-радикальная партия;X
YGR_socialist;Партия социалистов-революционеров;X
YGR_communist;Революционная коммунистическая партия;X
YGR_fascist;Национал-социалистическая партия;X
ALT_conservative;Партия мира;X
ALT_liberal;Прогрессивная партия;X
ALT_reactionary;Орден белого лотоса;X
ALT_anarcho_liberal;Национал-радикальная партия;X
ALT_socialist;Народно-социалистическая партия;X
ALT_communist;Коммунистическая партия;X
ALT_fascist;Богда-ханская фракция;X
BRY_conservative;Партия мира;X
BRY_liberal;Прогрессивная партия;X
BRY_reactionary;Орден белого лотоса;X
BRY_anarcho_liberal;Национал-радикальная партия;X
BRY_socialist;Партия социалистов-революционеров;X
BRY_communist;Коммунистическая партия;X
BRY_fascist;Богда-ханская фракция;X
ORN_conservative;Фракция Дутова;X
ORN_liberal;Конституционно-демократическая партия;X
ORN_reactionary;Омская фракция;X
ORN_anarcho_liberal;Партия свободы;X
ORN_socialist;Партия социалистов-революционеров;X
ORN_communist;РСДРП(б);X
ORN_fascist;НСРП;X
UGH_conservative;Туркестанский союз;X
UGH_liberal;Иттифак аль-Муслимин;X
UGH_reactionary;Шура-и-Улема;X
UGH_anarcho_liberal;Туркестанская военная организация;X
UGH_socialist;Партия трудящихся;X
UGH_communist;Коммунистическая партия;X
UGH_fascist;Исламское движение;X
EVTNAME95341;Секуляризация;X
EVTDESC95341;Среди священнослужителей Парагвая было раскрыто немалое количество заговоров против диктаторского режима, помимо этого церковь часто обрушивалась на правительство Парагвая с жёсткой критикой. Ввиду этого, в 1842 году монастыри были закрыты, а монастырское имущество перешло в собственность государства.;X
EVTOPTA95341;Не трогать Святую Церковь!;X
EVTOPTB95341;Ни капли снисхождения к заговорщикам!;X
form_boer_federation_title;Основать Бурскую Федерацию;X
form_boer_federation_desc;Колонизация Южной Африки европейскими народами, в основном голландцами и беглыми французами-гугенотами, началась в середине XVII века. За это время было создано несколько бурских республик, однако их существованию в данный момент угрожает Британская Империя, стремящаяся к расширению Капской колонии. Только объединившись в единое государство можно противостоять столь могущественному врагу и попытаться выбить его из Южной Африки.;X
guarani_equality_title;Равноправие индейцев и бледнолицых;X
guarani_equality_desc;С окончанием власти испанской администрации на наших землях, гуарани, активно участвующие в борьбе за независимость, фактически приобрели равные права с белым населением Парагвая. Теперь осталось лишь закрепить их юридически, восстановив справедливость.;X
burmese_wars_title;Англо-бирманские войны;X
burmese_wars_desc;Первая англо-бирманская война проходила с 1823 по 1826 во время правления царя Баджидо и губернаторства лорда Амхерста. Великобритания нанесла сокрушительное поражение бирманским войскам, принудив Баджидо заключить унизительный для Бирмы мирный договор. Ныне его условия стали нарушаться всё чаще, что даёт нам повод раз и навсегда указать этим варварам их место.;X
burmese_colonization_title;Колонизация Бирмы;X
burmese_colonization_desc;Успехи в последней войне ясно показали неспособность Бирмы противостоять силе нашей армии, а все европейские государства признали её нашей сферой влияния. Теперь ничего не мешает нам окончательно лишить эту отсталую страну независимости, принеся в этот дикий край свет цивилизации.;X
riu_grandi_victory_title;День независимости;X
riu_grandi_victory_desc;После поражения в войне Фаррапус, Бразилии ничего не оставалось, как признать нашу независимость, отказавшись от претензий на территорию, принадлежащую нам. Viva a Republica!;X
sepoy_mobilization_title;Тотальная мобилизация;X
sepoy_mobilization_desc;В последние годы бесчинства, творимые колониальной администрацией, были нестерпимы, теперь к ним прибавились преступления карательных отрядов, убивающих лишь за подозрение в содействии восставшим сипаям. Даже у Будды не хватило бы терпения не вмешиваться! Сегодня мы сожмём в руке винтовку и изгоним захватчиков, а также потакающих им царей, из Индии, единой и неделимой!;X
bosnian_crisis_title;Боснийский кризис;X
bosnian_crisis_desc;25-я статья Берлинского договора предусматривала, что освободившиеся от турецкого гнёта Босния и Герцеговина отходят к Австро-Венгрии, однако на время действия Союза трёх императоров данный вопрос по настоянию Бисмарка был заморожен. Однако сербская угроза в регионе становится всё более значимой, да и турки могут преодолеть упадок и взять реванш, поэтому мы аннексируем Боснию и Герцеговину в одностороннем порядке, несмотря на то, что это может спровоцировать общеевропейский конфликт.;X
scandinavia_irredenta_title;Великая Скандинавия;X
scandinavia_irredenta_desc;В былые времена скандинавские государства оказывали значительное влияние на европейскую политику. Шведская империя была гарантом Вестфальского мира и владела Померанией, Ингерманландией, Финляндией, балтийскими землями, Датское королевство же владело многими северными островами, включая Исландию и Гренландию. Теперь, когда Скандинавия стала единой и вновь признаётся всеми как великая держава, появился шанс вернуть утрачённое и его нельзя упускать.;X
greece_irredenta_title;Великая Греция;X
greece_irredenta_desc;После пяти веков нахождения под властью турецких султанов и алчных венецианских купцов, Греция наконец-то обрела независимость, однако большая часть нашей исторической территории всё ещё контролируется захватчиками. Сегодня, когда Оттоманская Империя слабеет с каждым годом своего существования, а наша государственность возрождается подобно фениксу, восстающему из пепла, мы должны присоединить все территории, на которых проживает значительное греческое меньшинство.;X
persia_irredenta_title;Великий Иран;X
persia_irredenta_desc;Век назад могущественная Персидская империя занимала огромную территорию, от гор Кавказа до джунглей Индии, однако междоусобицы и правление бездарных шахов, не желающих проводить никаких реформ сделало Персию отсталым государством, объектом грабежа Российской, Оттоманской и Британской империй. Теперь же нас вновь признают великой державой, и наш несломленный упадком дух зовёт требует объединения всех ариев под нашим стягом. Да здравствует Иран, земля ариев!;X
