;;;;;;;;;;;;;x,,,,
NORMAL_WAR_DISMANTLE_NAME;$ORDER$$FIRST$ Война за разрушение $SECOND$ державы;Grande Guerre $ORDER$$FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ GrцЯer Krieg;Baza;Base:;Base:;Alap:;Zсkladna:;;;;;;;x;;;;;;;;;;;;;;,,,,
AGRESSION_WAR_DISMANTLE_NAME;$ORDER$ Война $FIRST$ агрессии;$ORDER$ Offensive Militaire $FIRST$;$ORDER$ $FIRST$ Angriffskrieg;Wojna $ORDER$$FIRST$-$SECOND$;Guerra $ORDER$$FIRST$-$SECOND$;$ORDER$ Guerra $FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ hсborъ;$ORDER$$FIRST$-$SECOND$ vсlka;;;;;;;x;;;;;;;;;;;;;;,,,,
punitive_effects;Унижение нации;Humiliation Nationale;Nationale Erniedrigung;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
punitive_effects_desc;Наша держава унижена победителями, а карательный эффект репараций негативно скажется на наших людях. ;;;;;;;;;;;;;x,,,
great_war_install_democracy_setup;Установить демократический режим в государстве $RECIPIENT$;Install a friendly democracy in $RECIPIENT$;Install a friendly democracy in $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_install_fascism;Навязать фашизм;Installez le fascisme;Bringen Sie Faschismus an;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_install_fascism_desc;Установить дружественный фашистский режим в захваченной столице;Install a зYfriendly fascist governmentзW in the country's capital;Install a зYfriendly fascist governmentзW in the country's capital;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_install_fascism_short;Установить фашистский режим в государстве $RECIPIENT$;Install a fascist government in $RECIPIENT$;Install a fascist government in $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_install_fascism_setup;Установить фашистский режим в государстве $RECIPIENT$;Install a fascist government in $RECIPIENT$;Install a fascist government in $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_install_communism;Навязать коммунизм;Installez le communisme;Bringen Sie Kommunismus an;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_install_communism_desc;Установить дружественный коммунистический режим в захваченной столице;Install a зYfriendly communist governmentзW in the country's capital;Install a зYfriendly communist governmentзW in the country's capital;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_install_communism_short;Установить коммунистический режим в государстве $RECIPIENT$;Install a communist government in $RECIPIENT$;Install a communist government in $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_install_communism_setup;Установить коммунистический режим в государстве $RECIPIENT$;Install a communist government in $RECIPIENT$;Install a communist government in $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_liberate;Освобождение;Peuple libre;Freies Volk;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_liberate_desc;Освободить страну от угнетателей;Libщrer un зYpaysзW de ses oppresseurs;Befreien Sie ein зYLandзW von seinen Unterdrьckern.;;;;;;;;;;;x,,,,
great_war_liberate_short;$THIRD$ получит $STATE$;$THIRD$ prend $STATE$;$THIRD$ erwirbt $STATE$;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_liberate_setup;$RECIPIENT$ передаст $STATE$ государству $THIRD$;Prendre $STATE$ р $RECIPIENT$ pour le rendre р $THIRD$;Geben Sie $STATE$ an $THIRD$ von $RECIPIENT$ zurьck;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_acquire_core;Acquire core;Prendre territoire clщ;Kernprovinz erwerben;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_acquire_core_desc;Aquire an enemy зYstateзW where we have зYcore provincesзW;Prendre un зYЙtatзW ennemi oщ nous avons des зYprovinces principalesзW;Erobern Sie einen feindlichen зYStaatзW, in dem wir зYKernprovinzenзW haben.;;;;;;;;;;;x,,,
great_war_acquire_core_short;Acquire $STATE$;Prendre $STATE$;$STATE$ erwerben;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_acquire_core_setup;Acquire core $STATE$ from $RECIPIENT$;Prendre Йtat clщ $STATE$ de $RECIPIENT$;Kern-$STATE$ von $RECIPIENT$ erwerben;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_place_in_the_sun;Place in the sun;Une place au soleil;Ein Platz an der Sonne;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_place_in_the_sun_desc;Aquire an enemy зYcolonial stateзW;Prendre un зYЙtat colonialзW ennemi;Erobern Sie einen feindlichen зYKolonialstaatзW.;;;;;;;;;;;x,,,,
great_war_place_in_the_sun_short;Acquire $STATE$;Prendre $STATE$;$STATE$ erwerben;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_place_in_the_sun_setup;Acquire colony $STATE$ from $RECIPIENT$;Prendre colonie $STATE$ de $RECIPIENT$;Kolonie $STATE$ von $RECIPIENT$ erwerben;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_release_puppet;Release Puppet;Libщrer un Йtat fantoche;Marionettenstaat entlassen;;;;;;;;;;;x,,,,
great_war_release_puppet_short;$THIRD$ is released;$THIRD$ est libщrщ;$THIRD$ wurde entlassen;;;;;;;;;;;x,,,,
great_war_release_puppet_setup;Release $THIRD$ from $RECIPIENT$;Libщrer $THIRD$ de $RECIPIENT$;Entlassen Sie $THIRD$ aus $RECIPIENT$;;;;;;;;;;;x,,,,
great_war_release_puppet_desc;Release a зYcountryзW from its sovereign nation;Libщrer un зYpaysзW de sa nation souveraine;Entlassen Sie ein зYLandзW von seinem Herrenland.;;;;;;;;;;;x,,,,
great_war_take_from_sphere;Take from sphere of influence;Prendre р la sphшre d'influence;Aus Einflusssphфre entfernen;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_take_from_sphere_desc;Remove a country from someone's зYSphere of InfluenceзW and add it to our own;Supprimer un pays de la зYsphшre d'influenceзW de quelqu'un et l'ajouter р la nфtre;Entfernen Sie ein Land aus einer anderen зYEinflusssphфreзW und fьgen Sie es Ihrer eigenen hinzu.;;;;;;;;;;;x,,,,
great_war_take_from_sphere_short;Take $THIRD$ from sphere of influence;Prendre $THIRD$ р la sphшre d'influence;$THIRD$ aus Einflusssphфre entfernen;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_take_from_sphere_setup;Take $THIRD$ from $RECIPIENT$'s sphere of influence;Prendre $THIRD$ р la sphшre d'influence de $RECIPIENT$;$THIRD$ aus Einflusssphфre von $RECIPIENT$ entfernen;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
EVTNAME95500;Созвана конференция. $CAPITAL$, год $YEAR$;;;;;;;;;;;;x,,,,
EVTDESC95500;Представители колониальных стран собрались в городе $CAPITAL$ обсудить регулирование колонизациии и торговли в Африке. Результатом стало соглашение в соответствиии с которым любая цивилизованная страна во многом будет оправданна в агрессии по отношению к нецивилизованным африканским странам.;;;;;;;;;;;;x,,
EVTNAME95501;Гонка за Африку;;;;;;;;;;;;x,,,,
EVTDESC95501;Прошедшая в государстве $FROMCOUNTRY$ конференция, созванная для регулирования колонизациии и торговли в Африке, достигла соглашения в соответствиии с которым любая цивилизованная страна во многом будет оправданна в агрессии по отношению к нецивилизованным африканским странам.;;;;;;;;;;;;x
EVTNAME95505;Гонка за Африку;;;;;;;;;;;;x,,,,
EVTDESC95505;$COUNTRY_ADJ$ влияние ощущается во всей Африке, и некоторые члены правительства предполагают, мы должны настаивать на более непосредственным контролем над местныыми правительствами африканских стран. Без $COUNTRY_ADJ$ защиты, очень вероятно, что эти люди попадают под влияние конкурирующих колониальных держав, и разве это не наш моральный императив расширить прибыли,  данные высоким  статусом цивилизованного государства?;;;;;;;;;;;;x,
EVTNAME95506;Гонка за Африку;;;;;;;;;;;;x,,,,
EVTDESC95506;$FROMCOUNTRY_ADJ$ влияние чувствуется во всех уголках государства $COUNTRY$. Они приходят к нам, говоря, что они принесут образование и цивилизацию. Мы знаем, что они действительно хотят: все богатство $COUNTRY$ в их казну. Но что мы можем сделать? Теперь они хотят управлять нами более непосредственно - для наших "защиты" от других амбициозных иностранных держав. Если мы согласны, наш образ жизни закончился. Если мы откажемся, то они будут воевать против нас.;;;;;;;;;;;;x,
EVTNAME95507;$FROMCOUNTRY$ Отклонено;;;;;;;;;;;;x,,,,
EVTDESC95507;$FROMCOUNTRY_ADJ$ люди приняли безрассудное решением: они отказались от нашего предложения по защите и зашли так далеко, что выгнали наших представителей из страны. Есть даже сообщения о гибели нескольких человек. Кажется, у нас не остается выбора, кроме как идти войной на $FROMCOUNTRY_ADJ$ глупцов и заставить их видеть правильный путь.;;;;;;;;;;;;x,,,,
EVTNAME96000;Это война!;La Guerre c'est Ici;Der Krieg Kommt;;;;;;;;;;;x,,,,
EVTDESC96000;$COUNTRY$ находится в состоянии тотальной войны с одной из великих держав мира. В современной войне, когда возможно столкновение миллионных армий и будущее нашей страны положено на карту, $COUNTRY_ADJ$ люди должны постараться ради победы. Отложить наши мелкие различия и наши личные амбиции. $COUNTRY$ должна сплотиться, в этом наша победа!;;;;;;;;;;;;x",,
EVTOPTA96000;We shall be victorious!;Nous serons victorieux!;Wir sind siegreich!;;;;;;;;;;;x,,,,
EVTNAME96010;Конференция о послевоенном устройстве. $CAPITAL$, год  $YEAR$.;Le Traitщ de $CAPITAL$;Der Vertrag von $CAPITAL$;;;;;;;;;;;x,,,,
EVTDESC96010;Мы проиграли войну, победители как стервятники спустились к нам. Мы были вынуждены сесть за стол переговоров, чтобы принять унизительные условия Что касается распада нашей империи, многие нашие земли ушли к победителям, и мы не можем иметь зарубежные владения. Это время, которое $COUNTRY_ADJ$ люди должны запомнить на долгие годы.;;;;;;;;;;;;;x,
EVTNAME96004;Требования войны;Les Demandes de la Guerre;Die Nachfragen des Krieges;;;;;;;;;;;x,,,,
EVTDESC96004;Постоянное состояние войны в котором $COUNTRY$ находится сказывается на наших людях. Нехватка товаров первой необходимости и неспособность добыть быстрой победы утомили людей. Если что-то не произойде в ближайшее время, мы можем столкнуться с ростом усталости и волнения пределах наших собственных границ.;;;;;;;;;;;;;x,,,
EVTOPTA96004;Мы выиграем эту войну!;Nous gagnerons la guerre!;Wir gewinnen den Krieg!;;;;;;;;;;;x,,,,
EVTNAME96005;Все жертвы напрасно?;Est-il Tout Pour Rien?;Ist Alles Fьr Nichts?;;;;;;;;;;;x,,,,
EVTDESC96005;Массовые выступления в городе $CAPITAL$ демонстрируют преобладающее отношение $COUNTRY_ADJ$ людей: вытащитt нас из войны, и в ближайшее время. Слишком много было потеряно, слишком много жертв принесенных, а все для чего? Люди хотят вернуться к своей обычной жизни, без постоянной угрозы войны, нависшей над их головами.;;;;;;;;;;;;;x
EVTOPTA96005;Не теряйте надежду?!;Ne perdez pas l'espoir!;Verlieren Sie nicht Hoffnung!;;;;;;;;;;;x,,,,
EVTNAME96006;Полный коллапс.;Effondrement Total;Gesamteinsturz;;;;;;;;;;;x,,,,
EVTDESC96006;Война не идет хорошо, мягко говоря. Консультанты говорят, что $COUNTRY$ должна просить мира, сделать все возможное, чтобы положить конец этой войне, прежде чем что-то еще более ужасное случится. Люди находятся на грани бунта. Мы должны действовать!;;;;;;;;;;;;;x,,
EVTOPTA96006;Катастрофа!;Dщsastre!;Unfall!;;;;;;;;;;;x,,,,
EVTOPTA96010;Мы принимаем мир.;La paix est bienvenue;Frieden ist willkommen;;;;;;;;;;;x,,,,
EVTNAME96013;Распад $FROMCOUNTRY_ADJ$ империи;La Dissolution de $FROMCOUNTRY$;Das Auseinanderbrechen von $FROMCOUNTRY$;;;;;;;;;;;x,,,,
EVTDESC96013;$FROMCOUNTRY$ была вынуждена признать свое поражение в войне, и мы были приглашены за стол переговоров, чтобы обсудить возможности распада империи. Потенциально это может означать, что мы можем вернуть $COUNTRY_ADJ$, хотя, если мы отказажемся от своих претензий это может означать спасение отношения c $FROMCOUNTRY$.;;;;;;;;;;;;;x,,
EVTOPTA96013;Мы будем участвовать в переговорах;Nous joindrons les entretiens;Wir gehen zu den Gesprфchen;;;;;;;;;;;x,,,,
EVTOPTB96013;Мы не будем присутствовать;Nous n'irons pas;Wir gehen nicht;;;;;;;;;;;x,,,,
EVTNAME96014;Распад $FROMCOUNTRY_ADJ$ империи;La Dissolution de $FROMCOUNTRY$;Das Auseinanderbrechen von $FROMCOUNTRY$;;;;;;;;;;;x,,,,
EVTDESC96014;$FROMCOUNTRY$ была вынуждена признать свое поражение в войне, и теперь переговоры ознаменовали обсуждение распада империи. В качестве врага $FROMCOUNTRY$, свое место за столом нам обеспечено. По крайней мере, любые $COUNTRY_ADJ$ земли находящиеся в настоящее время в $FROMCOUNTRY_ADJ$ владении должны быть возвращены.;;;;;;;;;;;;;x,
EVTOPTA96014;Мы просто хотим вернуть наши земли.;Nous voulons nos terres;Wir wьnschen unsere Lфnder;;;;;;;;;;;x,,,,
EVTNAME96015;$COUNTRY_ADJ$ освобождение.;Libertщ $COUNTRY_ADJ$;$COUNTRY_ADJ$ Freiheit;;;;;;;;;;;x,,,,
EVTDESC96015;Поражение $FROMCOUNTRY$ в их войне заставило их сесть за стол переговоров, и одним из условий капитуляции является наше освобождение от их прямого правления. Это будет означать изгнание $FROMCOUNTRY_ADJ$ чиновников. Мы можем сохранить наши тесные связи с $FROMCOUNTRY$, даже нашу свободу, но это зависит от доброй воли противников $FROMCOUNTRY$.;;;;;;;;;;;;;x,,
EVTOPTA96015;$COUNTRY$ должна быть освобождена;$COUNTRY$ sera libre;$COUNTRY$ ist frei;;;;;;;;;;;x,,,,
EVTOPTB96015;$FROMCOUNTRY$ является нашим союзником;$FROMCOUNTRY$ est notre alliщ;$FROMCOUNTRY$ ist unser Verbьndetes;;;;;;;;;;;x,,,,
EVTNAME96016;$FROMCOUNTRY_ADJ$ колонии;Les Colonies $FROMCOUNTRY_ADJ$;Das $FROMCOUNTRY_ADJ$ Kolonien;;;;;;;;;;;x,,,,
EVTDESC96016;Один из вопросов, затронутых в договоре является вопрос о $FROMCOUNTRY_ADJ$ колониях. Разумеется. они не смогут сохранить эти земли, но вопрос в том кому эти земли перейдут. На данный момент достигнута договоренность о разделе некоторых территорий, а оставшиеся должны быть разделены в следующем году.;;;;;;;;;;;;;x,
EVTOPTA96016;Мы заберем то что сможем;Nous voulons autant que possible;Wir wьnschen so viel wie mцglich;;;;;;;;;;;x,,,,
EVTOPTB96016;Наша единственна цель - ограничение $FROMCOUNTRY_ADJ$ мощи.;Nous voulons seulement;Wir wьnschen nur wenig;;;;;;;;;;;x,,,,
EVTOPTC96016;Мы не заинтересованны в их колониях.;Nous ne voulons pas les colonies;Wir wьnschen nicht die Kolonien;;;;;;;;;;;x,,,,
EVTDESC96017;Один из вопросов, затронутых в договоре является вопрос о том что делать с $FROMCOUNTRY_ADJ$ колониями. Мы не великая держава, и вполне возможно, что даже если попытаться требовать колоний для наших подданных мы в конечном итоге ничего не получим... Но если мы не попытаемся, мы в итоге ничего не получим наверняка. Несмотря на это, делая попытки можно рассматривать как агрессивное действие.;;;;;;;;;;;;;x,
EVTNAME96020;Великая война окончена;La Guerre c'est Finie;Der Krieg ist Fertig;;;;;;;;;;;x,,,,
EVTDESC96020;С окончаним войны, $COUNTRY_ADJ$ людb вышли на улицы города $CAPITAL$ праздновать. Потери в войне были тяжелыми, но на сегодняшний день $COUNTRY_ADJ$ люди просто счастливы быть в мире.;;;;;;;;;;;;;x,,
EVTOPTA96020;Да здравствует $COUNTRY$!;Vive $COUNTRY$!;Lieben lang $COUNTRY$!;;;;;;;;;;;x,,,,
EVTDESC96022;$FROMCOUNTRY_ADJ$ государство было создано из ничего, но власть имущие требуют, что по крайней мере некоторые из их земель по праву принадлежащие государству $COUNTRY$, должны быть возвращены нам. $COUNTRY_ADJ$ люди обрадовались этой новости.;;;;;;;;;;;;;x,,,
EVTNAME96025;Враг моего врага;Ennemi de mon Ennemi;Feind meines Feindes;;;;;;;;;;;x,,,,
EVTDESC96025;Теперь, когда мы находимся в состоянии тотальной войны, возникла идея, что $COUNTRY$ должна сойтись с $FROMCOUNTRY_ADJ$ врагами, чтобы увидеть, есть ли те, кто присоединится к войне на нашей стороне. Это может означать нечестный союз с теми, кто никогда не будет воевать на нашей стороне, но, как говорится в старой поговорке: "враг моего врага мой друг". Если мы хотим победить в войне против $FROMCOUNTRY_ADJ$ супостата, нам, возможно, придется принять это близко к сердцу.;;;;;;;;;;;;;x,
EVTOPTA96025;Сделайте это!;Oui;Ja;;;;;;;;;;;x,,,,
EVTOPTB96025;Мы более не нуждаемся в союзниках;Nous n'avons pas besoin de plus d'alliщs;Wir benцtigen nicht mehr Verbьndete;;;;;;;;;;;x,,,,
EVTNAME96030;тень войны;L'ombre de la Guerre;Der Schatten des Krieges;;;;;;;;;;;x,,,,
EVTDESC96030;$FROMCOUNTRY_ADJ$ дипломат имеет к нам предложение: союз с ними, чтобы сражаться против общих врагов ... которые, конечно, нам не друзья. В то время как альянс не обязательно обязывает нас, вопрос действительно $COUNTRY$ хочет идти на войну. Если мы вступим в войну с $FROMCOUNTRY_ADJ$ империей, мы имеем шанс получить военную добычу для себя. Это также означает, мы пропасть вместе с союзниками. Выбор за нами.;;;;;;;;;;;;;x,
EVTOPTA96030;Да! Союз с государством $FROMCOUNTRY$;Nous convenons;Wir stimmen zu;;;;;;;;;;;x,,,,
EVTOPTB96030;Мы отказываемся;Nous refusons;Wir lehnen ab;;;;;;;;;;;x,,,,
EVTNAME96031;$FROMCOUNTRY_ADJ$ правительство  согласно;$FROMCOUNTRY$ a Convenu;$FROMCOUNTRY$ hat Zugestimmt;;;;;;;;;;;x,,,,
EVTDESC96031;Мы получили слово от $FROMCOUNTRY$, что они согласились на альянс. Смогут ли они смогут дожить до этого альянса и присоединиться к нам во время войны еще предстоит выяснить.;;;;;;;;;;;;;x,,,,
EVTOPTA96031;Великолепно;Excellent;Ausgezeichnet;;;;;;;;;;;x,,,,
EVTNAME96065;Возмутительно!;;;;;;;;;;;x,,,,
EVTDESC96065;Дипломатический инцидент с одним из наших врагов вызвал возмущение $COUNTRY_ADJ$ граждан. Несколько недель назад посол назначенный в город $CAPITAL$ был обвинен в хищении государственных секретов. Оказалось, что правда намного хуже, и расследование обнаружили заговор с целью дестабилизировать государство $COUNTRY$ и подготовить вторжение. Это информация утекла в прессу, и теперь толпы в столице призывают к тотальной войне.;;;;;;;;;;;x,
EVTOPTA96065;Мы должны защитить $COUNTRY_ADJ$ интересы, чего бы это не стоило.;;;;;;;;;;;x,,,
EVTOPTB96065;мы не можем позволить себе войну.;;;;;;;;;;;x,,,,
EVTNAME96066;Убийство!;;;;;;;;;;;x,,,,
EVTDESC96066;Убийство видного $COUNTRY_ADJ$ гражданина, как оказалось, организованно из-за рубежа. Это только последний в череде инцидентов, направленных на дестабилизацию государства $COUNTRY$. Результаты расследования просочились в прессу, и толпы людей собрались на улицах города $CAPITAL$, они призывают к войне.;;;;;;;;;;;x,
EVTNAME96070;$COUNTRY_ADJ$ колониии;Les Colonies $COUNTRY_ADJ$;Das $COUNTRY_ADJ$ Kolonien;;;;;;;;;;;x,,,,
EVTDESC96070;Согласно мирному договору, наши колонии и заморские территории должны быть переданы победителям. В настоящее время идут переговоры о том какие земли какой стране достанутся.  Похоже, наше унижение еще не завершено.;;;;;;;;;;;;;x,,,
EVTOPTA96070;Время распада нашей империи.;Nous n'avons aucun choix.;Wir haben keine Wahl.;;;;;;;;;;;x,,,,
EVTNAME96071;Передача $FROMCOUNTRY_ADJ$ колоний;Les Colonies $FROMCOUNTRY_ADJ$;Das $FROMCOUNTRY_ADJ$ Kolonien;;;;;;;;;;;x,,,,
EVTDESC96071;Продолжаются переговоры, о том какие страны получат контроль над оставшимися $FROMCOUNTRY_ADJ$ колониями и заморскими территориями.;;;;;;;;;;;;;x,,,,
EVTOPTA96071;Мы получаем контроль над колониями.;Nous acceptons.;Wir nehmen an.;;;;;;;;;;;x,,,,
EVTOPTB96071;Мы более не нуждаемся в новых колониях.;Nous refusons.;Wir lehnen ab.;;;;;;;;;;;x,,,,
EVTDESC96081;Нам предложены $FROMCOUNTRY_ADJ$ изолированые территории. Мы должны рассмотреть вопрос о целесообразности приобретения этих земель, так как доступ к земле может быть затруднен в соответствии с нынешними границами. Но, опять же, мы ведь не хотим что бы государство $FROMCOUNTRY$ сохранило эти земли?;;;;;;;;;;;;;x,
EVTNAME96085;Новое $COUNTRY_ADJ$ правительство;Le Nouveau Gouvernement $COUNTRY_ADJ$;Die Neue $COUNTRY_ADJ$ Regierung;;;;;;;;;;;x,,,,
EVTDESC96085;После ухода армий нашего бывшего врага из города $CAPITAL$, там осталось недавно навязанное про-демократическое правительство. Как долго это праительство продержится - неизвестно, но многие в государстве $COUNTRY$ спрашивают, может ли свобода быть навязанной военной силой.;;;;;;;;;;;;;x,,
EVTOPTA96085;Мы приветствуем новый режим.;Nous faisons bon accueil au nouveau rщgime.;Wir begrьЯen das neue Regime.;;;;;;;;;;;x,,,,
EVTDESC96086;После ухода армий нашего бывшего врага из города $CAPITAL$, там осталось недавно навязанное про-фашистское правительство. Как долго это праительство продержится - неизвестно, но многие в государстве $COUNTRY$ подумывают о перевороте.;;;;;;;;;;;;;x,,
EVTDESC96087;После ухода армий нашего бывшего врага из города $CAPITAL$, там осталось недавно навязанное про-коммунистическое правительство. Как долго это праительство продержится - неизвестно, но многие в государстве $COUNTRY$ подумывают о перевороте.;;;;;;;;;;;;;x,,
EVTNAME96130;Цена позора;Le Prix de l'Infamie;Der Preis der Niedertracht;;;;;;;;;;;x,,,,
EVTDESC96130;Существует некое брожение в международном сообществе по поводу $COUNTRY_ADJ$ воинственного поведения, а некоторые из них говорят о необходимости единого фронта против государства $COUNTRY$. Есть даже попытки агитировать своих граждан против нас. Мы должны быть осторожны в будущем, так как можем сталкнуться не с одним врагом, а с коалицией великих держав мира.;;;;;;;;;;;;;x,,
